# reactions: 3
Time	S	I	R	N	Fired Reaction
1.0751292300432733	26.0	26.0	48.0	100.0	 2
1.0809656427178147	26.0	25.0	49.0	100.0	 2
1.1052230343533824	27.0	25.0	48.0	100.0	 3
1.1198377344411061	27.0	24.0	49.0	100.0	 2
1.1204359713844925	28.0	24.0	48.0	100.0	 3
1.1218440125543863	27.0	25.0	48.0	100.0	 1
1.1246622469129768	28.0	25.0	47.0	100.0	 3
1.1265683759161913	27.0	26.0	47.0	100.0	 1
1.1400439338029256	26.0	27.0	47.0	100.0	 1
1.1440039043930763	26.0	26.0	48.0	100.0	 2
1.1611105112061377	27.0	26.0	47.0	100.0	 3
1.1664013813358303	26.0	27.0	47.0	100.0	 1
1.1680294013305885	27.0	27.0	46.0	100.0	 3
1.1682823783809733	27.0	26.0	47.0	100.0	 2
1.1760202835361948	27.0	25.0	48.0	100.0	 2
1.1818121640367378	28.0	25.0	47.0	100.0	 3
1.1843629326398286	27.0	26.0	47.0	100.0	 1
1.209166989512271	26.0	27.0	47.0	100.0	 1
1.2324039044768083	27.0	27.0	46.0	100.0	 3
1.2478284432596254	26.0	28.0	46.0	100.0	 1
1.2486648381808552	25.0	29.0	46.0	100.0	 1
1.256594320017159	25.0	28.0	47.0	100.0	 2
1.2955566325236803	25.0	27.0	48.0	100.0	 2
1.3100061692468734	26.0	27.0	47.0	100.0	 3
1.3220727197789093	27.0	27.0	46.0	100.0	 3
1.3386440239765682	26.0	28.0	46.0	100.0	 1
1.3414358933294501	25.0	29.0	46.0	100.0	 1
1.342916152867746	24.0	30.0	46.0	100.0	 1
1.3464908367853297	25.0	30.0	45.0	100.0	 3
1.3716851562007064	24.0	31.0	45.0	100.0	 1
1.3733185129088175	23.0	32.0	45.0	100.0	 1
1.3807916676952203	23.0	31.0	46.0	100.0	 2
1.3840010022057772	23.0	30.0	47.0	100.0	 2
1.3909022727390579	23.0	29.0	48.0	100.0	 2
1.419800023237557	24.0	29.0	47.0	100.0	 3
1.4276767984965646	25.0	29.0	46.0	100.0	 3
1.4647877559949765	24.0	30.0	46.0	100.0	 1
1.479145821993686	24.0	29.0	47.0	100.0	 2
1.5207253319123997	24.0	28.0	48.0	100.0	 2
1.5383573104734678	25.0	28.0	47.0	100.0	 3
1.540542757664932	25.0	27.0	48.0	100.0	 2
1.5668046609374235	26.0	27.0	47.0	100.0	 3
1.5797291844850687	26.0	26.0	48.0	100.0	 2
1.5799439491923934	27.0	26.0	47.0	100.0	 3
1.5811691328034607	27.0	25.0	48.0	100.0	 2
1.5867947572685885	27.0	24.0	49.0	100.0	 2
1.6040188321621727	27.0	23.0	50.0	100.0	 2
1.6155361293457942	28.0	23.0	49.0	100.0	 3
1.6205272136799551	27.0	24.0	49.0	100.0	 1
1.6533028137206014	28.0	24.0	48.0	100.0	 3
1.6871036363127991	27.0	25.0	48.0	100.0	 1
1.7105101942573422	28.0	25.0	47.0	100.0	 3
1.7160778191368862	29.0	25.0	46.0	100.0	 3
1.7514537474249685	28.0	26.0	46.0	100.0	 1
1.755634179358055	29.0	26.0	45.0	100.0	 3
1.7588061516969948	30.0	26.0	44.0	100.0	 3
1.7609506734605362	29.0	27.0	44.0	100.0	 1
1.770491220050571	30.0	27.0	43.0	100.0	 3
1.7722807888833125	31.0	27.0	42.0	100.0	 3
